IATI_Identifier,Title,Description,Reporting_Organization,Reporting_Org_Ref,Reporting_Org_Type,Activity_Status,Activity_Status_Code,Start_Date,End_Date,Total_Budget,Default_Currency,Recipient_Country,Recipient_Country_Percentage,Recipient_Region,Sectors,Sector_Codes,Participating_Organizations,Participating_Org_Refs,Participating_Org_Roles,Locations,Contact_Email,Contact_Telephone,Contact_Organization,Contact_Address,Document_Links,Document_Categories,Policy_Markers,Collaboration_Type,Default_Flow_Type,Default_Finance_Type,Default_Aid_Type,Default_Tied_Status,Activity_Scope,Hierarchy,Language,Project_URL
GB-1-204603-120,World Health Organisation - Covid-19 Response - Phase 2,"This activity World Health Organisation - Covid-19 Response - Phase 2 is a component of Multi-Year Humanitarian Programme in Pakistan reported by FCDO with a funding type of 109 - Multilateral organisation and a budget of £2,000,057. It works in the following sector(s): Health personnel development, Medical research, Health policy and administrative management, Material relief assistance and services, Health education.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2020-09-02,2024-09-30,2000057.0,GBP,PK,100.0,,Health personnel development; Health policy and administrative management; Medical research; Material relief assistance and services; Health education,12281; 12110; 12182; 72010; 12261,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); World Health Organization (WHO)",GB-GOV-1; GB-GOV-1; XM-DAC-928,1; 2; 4,"shangla, KPK, Pakistan; Bannu, KPK, Pakistan; Peshawar, KPK, Pakistan; Leiah; Badin; Bajaur, Pakistan; Thatta, Sindh Pakistan; Mohmand, Pakistan; Kashmor; Chitral; Dera Ismail Khan; Kohat",enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204603-120/summary
GB-GOV-13-OODA-MRC-QQ9V5UK-QVL8SLV-NDMS3U7,THEHOPE-Traditional healers working with primary care and mental health for early intervention in psychosis in adolescent:intervention and feasibility,"MRC Adolescent Health looking at traditional healers working with primary care and mental health for early intervention in psychosis in adolescent:intervention and feasibility

Objectives: Research and development activity contributing to the UK’s strategy to address key development challenges.","DEPARTMENT FOR SCIENCE, INNOVATION AND TECHNOLOGY",GB-GOV-26,10,Closed,4,2021-09-01,2024-12-31,358777.20999999996,GBP,PK,100.0,,,12182,"DEPARTMENT FOR SCIENCE, INNOVATION AND TECHNOLOGY; MEDICAL RESEARCH COUNCIL; MEDICAL RESEARCH COUNCIL; KEELE UNIVERSITY",GB-GOV-26; GB-COH-RC000346; GB-COH-RC000346; GB-COH-RC000655,1; 2; 3; 4,,enquiries@odamanagement.org,,"DEPARTMENT FOR SCIENCE, INNOVATION AND TECHNOLOGY","Department for Science, Innovation and Technology, 22-26 Whitehall, London, SW1A 2EG",,,1; 5; 6; 7; 8; 10; 11; 12,1,10,110,D02,5,4,1,en,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-MRC-QQ9V5UK-QVL8SLV-NDMS3U7/summary
GB-GOV-1-300134-108,International Trade Center led Technical Assistance on Trade Policy and Trade Facilitation,This project was led by the Internatioanl Trade Center for the implementation of trade related technical assistance activities in Pakistan.,"UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Implementation,2,2019-10-16,2025-11-30,2930748.0,GBP,PK,100.0,,"Trade policy and administrative management; Trade facilitation; Women's rights organisations and movements, and government institutions; Domestic revenue mobilisation",33110; 33120; 15170; 15114,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); INTERNATIONAL TRADE CENTRE; International Trade Centre",GB-GOV-1; GB-GOV-1; XM-DAC-45001,1; 2; 4; 4,Islamabad; Lahore; Karachi,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300134-108/summary
GB-1-201210-101,Stabilisation and Planning Support,"This activity Stabilisation and Planning Support is a component of Stabilisation Support to Pakistan reported by FCDO with a funding type of 104 - Procurement of Services and a budget of £238,299. It works in the following sector(s): Civilian peace-building, conflict prevention and resolution.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2009-10-07,2013-09-30,238299.0,GBP,PK,100.0,,"Civilian peace-building, conflict prevention and resolution",15220,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Crown Agents Limited",GB-GOV-1; GB-GOV-1; GB-COH-03259922,1; 2; 4,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-201210-101/summary
GB-1-204358-101,[Closed] Pakistan Economic Corridors Programme - Design Phase,"This activity [Closed] Pakistan Economic Corridors Programme - Design Phase is a component of Pakistan Economic Corridors Programme reported by FCDO with a funding type of 104 - Procurement of Services and a budget of £39,231. It works in the following sector(s): Trade facilitation, Financial policy and administrative management, Transport policy and administrative management.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2013-11-20,2024-09-30,39231.0,GBP,PK,100.0,,Trade facilitation; Transport policy and administrative management; Financial policy and administrative management,33120; 21010; 24010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); DAI Europe",GB-GOV-1; GB-GOV-1; GB-COH-1858644,1; 2; 4,"Hasan Abdal; Gojra; Zhob; Qila Saifullah; Sindh; PUNJAB, pakistan; Islamabad; Karachi; Ghotki; Khanewal; Shorkot; Lahore; Haripur; Havelian; Qilla Saifullah; kandhkot",enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204358-101/summary
GB-1-204358-102,Support to Governments of Sindh and Punjab for Infrastructure Development through Asian Development Bank,"This activity Support to Governments of Sindh and Punjab for Infrastructure Development through Asian Development Bank is a component of Pakistan Economic Corridors Programme reported by FCDO with a funding type of 109 - Multilateral organisation and a budget of £9,112,181. It works in the following sector(s): Urban development and management, Financial policy and administrative management, Road transport.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2013-11-20,2024-09-30,9112181.0,GBP,PK,100.0,,Urban development and management; Financial policy and administrative management; Road transport,43030; 24010; 21020,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Asian Development Bank",GB-GOV-1; GB-GOV-1; XM-DAC-46004,1; 2; 4,"Hasan Abdal; Gojra; Zhob; Qila Saifullah; Sindh; PUNJAB, pakistan; Islamabad; Karachi; Ghotki; Khanewal; Shorkot; Lahore; Haripur; Havelian; Qilla Saifullah; kandhkot",enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204358-102/summary
GB-1-204358-103,Pakistan Economic Corridors Programme - Roads Infrastructure,"This activity Pakistan Economic Corridors Programme - Roads Infrastructure is a component of Pakistan Economic Corridors Programme reported by FCDO with a funding type of 109 - Multilateral organisation and a budget of £205,700,000. It works in the following sector(s): Road transport, Trade facilitation.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2013-11-20,2024-09-30,205700000.0,GBP,PK,100.0,,Road transport; Trade facilitation,21020; 33120,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Asian Development Bank",GB-GOV-1; GB-GOV-1; XM-DAC-46004,1; 2; 4,"Hasan Abdal; Gojra; Zhob; Qila Saifullah; Sindh; PUNJAB, pakistan; Islamabad; Karachi; Ghotki; Khanewal; Shorkot; Lahore; Haripur; Havelian; Qilla Saifullah; kandhkot",enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204358-103/summary
GB-1-204358-104,Pakistan Economic Corridors Programme - DFID Managed Technical Assistance,"This activity Pakistan Economic Corridors Programme - DFID Managed Technical Assistance is a component of Pakistan Economic Corridors Programme reported by FCDO with a funding type of 104 - Procurement of Services and a budget of £156,741. It works in the following sector(s): Road transport, Urban development and management, Financial policy and administrative management, Transport policy and administrative management, Trade facilitation.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2013-11-20,2024-09-30,156741.0,GBP,PK,100.0,,Road transport; Transport policy and administrative management; Financial policy and administrative management; Urban development and management; Trade facilitation,21020; 21010; 24010; 43030; 33120,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Glow Consultants; PwC; Glow Consultants; Glow Consultants; Glow Consultants; Glow Consultants; Glow Consultants; Glow Consultants; Glow Consultants",GB-GOV-1; GB-GOV-1; GB-COH-03580586; Not available; Not available; Not available; Not available; Not available; Not available; Not available,1; 2; 4; 4; 4; 4; 4; 4; 4; 4; 4,"Hasan Abdal; Gojra; Zhob; Qila Saifullah; Sindh; PUNJAB, pakistan; Islamabad; Karachi; Ghotki; Khanewal; Shorkot; Lahore; Haripur; Havelian; Qilla Saifullah; kandhkot",enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204358-104/summary
GB-1-204358-105,Pakistan Economic Corridors Programme - Asian Development Bank Managed Technical Assistance,"This activity Pakistan Economic Corridors Programme - Asian Development Bank Managed Technical Assistance is a component of Pakistan Economic Corridors Programme reported by FCDO with a funding type of 109 - Multilateral organisation and a budget of £4,061,430. It works in the following sector(s): Road transport, Transport policy and administrative management, Urban development and management, Financial policy and administrative management, Trade facilitation.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2013-11-20,2024-09-30,4061430.0,GBP,PK,100.0,,Road transport; Transport policy and administrative management; Financial policy and administrative management; Urban development and management; Trade facilitation,21020; 21010; 24010; 43030; 33120,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Asian Development Bank",GB-GOV-1; GB-GOV-1; XM-DAC-46004,1; 2; 4,"Hasan Abdal; Gojra; Zhob; Qila Saifullah; Sindh; PUNJAB, pakistan; Islamabad; Karachi; Ghotki; Khanewal; Shorkot; Lahore; Haripur; Havelian; Qilla Saifullah; kandhkot",enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204358-105/summary
GB-1-204358-106,Pakistan Economic Corridors Programme - Public Private Partnership for infrastructure development in Punjab and Sindh,"This activity Pakistan Economic Corridors Programme - Public Private Partnership for infrastructure development in Punjab and Sindh is a component of Pakistan Economic Corridors Programme reported by FCDO with a funding type of 109 - Multilateral organisation and a budget of £9,216,395. It works in the following sector(s): Urban development and management, Financial policy and administrative management.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2013-11-20,2024-09-30,9216395.0,GBP,PK,100.0,,Urban development and management; Financial policy and administrative management,43030; 24010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Asian Development Bank",GB-GOV-1; GB-GOV-1; XM-DAC-46004,1; 2; 4,"Hasan Abdal; Gojra; Zhob; Qila Saifullah; Sindh; PUNJAB, pakistan; Islamabad; Karachi; Ghotki; Khanewal; Shorkot; Lahore; Haripur; Havelian; Qilla Saifullah; kandhkot",enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204358-106/summary
GB-GOV-1-300575-106,Baseline Evaluation under DARE ,Funds allocated for Baseline and End line evaluation for DARE through external partners.,"UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Implementation,2,2021-11-17,2026-12-31,35033.0,GBP,PK,100.0,,Educational research; Education policy and administrative management,11182; 11110,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Institute of Social and Policy Sciences (I-SAPS)",GB-GOV-1; GB-GOV-1,1; 2; 4,Pakistan,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300575-106/summary
GB-COH-03877777-F326201-01,Indus Wind Energy Limited,"BII's investment is funding the creation of 150 MW of wind farms located in the Jhimpir area of the Sindh province of Pakistan. The project involves three separate schemes of 50 MW each, two developed by Liberty Mills and one by Indus Group.", British International Investment plc,GB-COH-03877777,15,Implementation,2,2019-11-13,,0.0,USD,PK,100.0,,Independent Power and Renewable Electricity Producers,551050,British International Investment plc,GB-COH-03877777,1,,enquiries@bii.co.uk,+44 20 7963 4700,British International Investment plc,"BII plc, 123 Victoria Street, London, SW1E 6DE, United Kingdom",https://www.bii.co.uk/en/our-impact/investment/indus-wind-energy-limited-investment-01/,A12,,6,10,,C01,5,,1,en,https://devtracker.fcdo.gov.uk/projects/GB-COH-03877777-F326201-01/summary
GB-COH-03877777-F326301-01,Liberty Wind Power 1 (PVT) Limited,"CDC's investment is funding the creation of 150 MW of wind farms located in the Jhimpir area of the Sindh province of Pakistan. The project involves three separate schemes of 50 MW each, two developed by Liberty Mills and one by Indus Group.", British International Investment plc,GB-COH-03877777,15,Implementation,2,2019-11-13,,0.0,USD,PK,100.0,,Independent Power and Renewable Electricity Producers,551050,British International Investment plc,GB-COH-03877777,1,,enquiries@bii.co.uk,+44 20 7963 4700,British International Investment plc,"BII plc, 123 Victoria Street, London, SW1E 6DE, United Kingdom",https://www.bii.co.uk/en/our-impact/investment/liberty-wind-power-1-pvt-limited-investment-01/,A12,,6,10,,C01,5,,1,en,https://devtracker.fcdo.gov.uk/projects/GB-COH-03877777-F326301-01/summary
