Notice_ID,Title,Reference,UN_Organization,Published_Date,Deadline,Type,Country,Sustainability,Beneficiary_Country,Contact_Name,Contact_Email,Contact_Address,UNSPSC_Codes,Documents,Description,Detail_URL
287314,Servicios de Diagramación e Impresión de Documentos,"UNDP-DOM-00579,1",UNDP,16-Dec-2025,14-Jan-2026 11:00 (GMT -5.00),Request for quotation,Dominican Republic,No,"countries or territories:
Dominican Republic","Email address:
Adquisiciones.do@undp.org
Surname:
Unidad de Adquisiciones",Adquisiciones.do@undp.org,,,,"El Programa de las Naciones Unidas para el Desarrollo Le invita a presentar cotización para: SDC-023-2025 ""Servicios de Diagramación e Impresión de Documentos”. Los proveedores interesados deberán presentar su oferta directamente en el sistema según se indica en el pliego de condiciones, siguiendo las instrucciones de la guía de usuario disponible. si tiene una cuenta, inicie sesión en este enlace: http://supplier.nextgenerp.partneragencies.org/ usando su nombre de usuario y contraseña. Utilice la función de contraseña/nombre de usuario olvidados si no los recuerda. Las aclaraciones deberan ser remitidas a través de esta plataforma a más tardar el día Martes 23 Diciembre del 2025, hora 5:00 pm, República Dominicana. El plazo de recepción de oferta sera hasta el Miercoles 7 de Enero del 2026, a las 4:00 pm (hora RD). En caso de que nunca se haya registrado antes, puede registrar un perfil utilizando el enlace de registro compartido a través del aviso de contratación y siguiendo las instrucciones de las guías disponibles en el sitio web del PNUD: https://www.undp.org/procurement/business/resources-for-bidders. No cree un nuevo perfil si ya tiene uno. Utilice la función de contraseña olvidada en caso de que no recuerde la contraseña o el nombre de usuario del registro anterior. Unidad de Adquisiciones PNUD República Dominicana",https://www.ungm.org/Public/Notice/287314
286320,"Call for Implementing Partners for the implementation of a project activity within the OSCE extra-budgetary project entitled “Women, Water Management and Conflict Prevention – Phase III” REISSUED",IP-C/SEC/OCEEA/2026-1,OSCE,07-Jan-2025,14-Jan-2026 12:00 (GMT 1.00),Call for implementing partners,Austria,No,"countries or territories:
Austria","OSCE IP Calls - ipcalls-at@osce.org
Email address:
ipcalls-at@osce.org
First name:
OSCE
Surname:
IP Calls",ipcalls-at@osce.org,,,,"The Organization for Security and Co-operation in Europe (OSCE) hereby solicits your application – if of your interest - for the Public Call for Implementing Partners for the implementation of a project activity within the OSCE extra-budgetary project entitled “Women, Water Management and Conflict Prevention – Phase III” from 01 February 2026 until 31 December 2026.",https://www.ungm.org/Public/Notice/286320
287005,"Supply and Delivery of Agricultural Tractor with accessories, Fodder Production and Processing Machinery - 25/190",2025/FRSOM/FRSOM/134549,FAO,12-Dec-2025,14-Jan-2026 12:00 (GMT 3.00),Invitation to bid,Somalia,No,"countries or territories:
Somalia",Procurement-Somalia@fao.org,Procurement-Somalia@fao.org,,,,"The Food and Agriculture Organization of the United Nations (FAO) invites you to submit an offer for the Supply and Delivery of Agricultural Tractor with accessories, Fodder Production and Processing Machinery - 25/190 to be delivered to Bula-Amin Village in Beled-Hawa District, Gedo Region, Jubbaland State of Somalia. If you are interested in submitting an offer, please make sure to have, at least, a UNGM Basic Registration with FAO (www.ungm.org). Instructions on how to access FAO tender documents through UNGM are attached to the present Notice under the “DOCUMENTS” tab; please follow these instructions when submitting your bid. OFFERS WILL ONLY BE ACCEPTED IF SUBMITTED THROUGH THE UNGM PORTAL. OFFERS NOT SUBMITTED THROUGH THE UNGM PORTAL WILL BE INVALIDATED. Many thanks and best regards, FAO PROCUREMENT SERVICE",https://www.ungm.org/Public/Notice/287005
288088,"RFQ - Procurement of Medical Equipment for Suhul Hospital, Ethiopia",RFQ/2026/60903,UNOPS,02-Jan-2026,14-Jan-2026 12:00 (GMT 0.00),Request for quotation,Ethiopia,No,"countries or territories:
Ethiopia",,,,,-Annex I _ Acceptable Documentation from Regulatory Authority of the Global Harmonization Task Force (GHTF ) Founding Members. (1).docx.pdf; RFQ_2026_60903_Section III _Returnable Bidding Forms .docx; RFQ_2026_60903_Section III _Returnable Bidding Forms.pdf; RFQ_Section_I_ Instructions to Bidders (1).pdf; RFQ_2026_60903 _ III_ Returnable_Bidding_Form_Form D_Technical Quotation Form - Amended.xlsx; RFQ_2026_60903_ Section II_Schedule of Requirment.docx.pdf; RFQ_2026_60903_Section III _Returnable Bidding Forms (1).docx; Download all documents,"The United Nations Office for Project Services (hereinafter referred to as UNOPS) is pleased to invite prospective bidders to submit bid for Medical Equipment for Suhul Hospital, Ethiopia in accordance with the UNOPS General Conditions of Contract and the Schedule of Requirements as set out in this Request for Qoutation (RFQ). ----- IMPORTANT NOTE: Interested vendors must respond to this tender using the UNOPS eSourcing system, via the UNGM portal. In order to access the full UNOPS tender details, request clarifications on the tender, and submit a vendor response to a tender using the system, vendors need to be registered as a UNOPS vendor at the UNGM portal and be logged into UNGM. For guidance on how to register on UNGM and submit responses to UNOPS tenders in the UNOPS eSourcing system, please refer to the user guide and other resources available at: https://esourcing.unops.org/#/Help/Guides Interested in improving your knowledge of what UNOPS procures, how we procure and how to become a vendor to supply to our organization? Learn more about our free online course on “Doing business with UNOPS” here",https://www.ungm.org/Public/Notice/288088
288246,"Appel à candidatures pour un collaborateur externe – Formateur pour des cours sur la transformation numérique et l'interopérabilité dans le domaine de la protection sociale au Sénégal, SOCPRO HQ, Genève",rfx_3568_HQ,ILO,07-Jan-2026,14-Jan-2026 12:00 (GMT 1.00),Call for individual consultants,Switzerland,No,"countries or territories:
Switzerland",,,,,ILO e-Sourcing - EXCOLL Supplier User Guide_English.pdf; ILO e-Sourcing - EXCOLL Supplier User Guide_Spanish.pdf; ILO e-Sourcing - EXCOLL Supplier User Guide_French.pdf; Download all documents,"Cher soumissionnaire, Le Bureau international du Travail (BIT) recherche une personne pour effectuer un travail en qualité de collaborateur extérieur. Vous trouverez ci-dessous un résumé des tâches à accomplir: L'Organisation internationale du travail (OIT) recherche un formateur qualifié pour soutenir le programme de formation de l'Initiative pour la convergence numérique (DCI) au Sénégal. La mission consiste à adapter les modules de formation standard de la DCI au contexte local, à personnaliser les études de cas et les exercices et à développer du contenu supplémentaire si nécessaire. Le formateur animera des sessions participatives et interactives à l'intention des décideurs politiques, des administrateurs et des experts techniques, en veillant à ce que les objectifs d'apprentissage soient atteints et que les participants puissent mettre leurs connaissances en pratique. La mission contribuera directement au renforcement des capacités institutionnelles en matière de transformation numérique et d'interopérabilité dans les systèmes de protection sociale. Si vous êtes intéressé(e), veuillez manifester votre intérêt et suivre les instructions ci-jointes pour consulter le mandat détaillé et les autres informations pertinentes sur la plateforme de recherche de fournisseurs en ligne de l’OIT. Veuillez soumettre votre proposition avant la date limite indiquée. Merci.",https://www.ungm.org/Public/Notice/288246
287887,"LITB 2025 9202003 Procurement of emergency supplies for UNICEF Ukraine CO, only for local non VAT payers",LITB 2025 9202003,UNICEF,26-Dec-2025,14-Jan-2026 12:00 (GMT 2.00),Invitation to bid,Ukraine,No,"countries or territories:
Ukraine","Email address:
ukrtender@unicef.org
First name:
Olga
Surname:
Melnyk
Telephone country code:
Ukraine (+380)
Telephone number:
380445210115",ukrtender@unicef.org,,,,"UNICEF has now issued an Invitation to Bid in order to select a supplier for the provision of emergency supplies for UNICEF Ukraine CO. This tender will be run through the UNICEF e-submissions system. By clicking on the blue ‘Express Interest’ button in the UNGM tender notice, the full UNICEF e-submission system instructions to bidders document (including instructions on how to access the tender documents and submit an Offer) will be automatically emailed to the ‘contact persons’ included in your UNGM registration. Alternatively, the full UNICEF e-submission system instructions to bidders document is publicly available on the UNICEF supply internet pages here: https://www.unicef.org/supply/index_procurement_policies.html . In the tender management site, if you navigate to the documents tab and opt in to confirm your intention to submit a Bid – you will then see the mandatory placeholders for documents that must be attached prior to submitting your Offer (you will also see if there are any mandatory questionnaires to complete). As such, you are recommended to `opt in` well before the submission deadline so you are clear exactly what documents are required to be uploaded prior to completing your submission. Please note that in order to access the tender documentation through UNICEF’s e-submissions system, vendors must: (i) be registered with UNICEF in UNGM as a company/NGO; (ii) have successfully completed all mandatory information currently required by UNGM when registering. Please ensure that any files submitted as part of your Bid are not corrupt or damaged in any way. Please exercise particular caution when using compressed files. Any corrupt or damaged files may lead to your Bid being invalidated. All vendors are strongly recommended to regularly log in to the UNICEF e-submissions system to check for any deadline extensions, new clarifications, new correspondence or updated tender documents relating to this tender.",https://www.ungm.org/Public/Notice/287887
288012,"ITB 2025 120 Custom Clearing, Forwarding and Transportation",2025/FRANG/FRANG/135192,FAO,30-Dec-2025,14-Jan-2026 12:00 (GMT 1.00),Invitation to bid,Angola,No,"countries or territories:
Angola",FAO-AO@fao.org,FAO-AO@fao.org,,,,"The Food and Agriculture Organization of the United Nations (FAO) invites you to submit an offer for the procurement of Custom Clearing, Forwarding and Transportation for FAO Angola Country Office. If you are interested in submitting an offer, please make sure to have, at least, a UNGM Basic Registration with FAO (www.ungm.org). Instructions on how to access FAO tender documents through UNGM are attached to the present Notice under the “DOCUMENTS” tab; please follow these instructions when submitting your bid. OFFERS WILL ONLY BE ACCEPTED IF SUBMITTED THROUGH THE UNGM PORTAL. OFFERS NOT SUBMITTED THROUGH THE UNGM PORTAL WILL BE INVALIDATED. Many thanks and best regards, FAO PROCUREMENT SERVICE",https://www.ungm.org/Public/Notice/288012
288272,Appel à Collaborateur Exterieur-Recrutement d’un Consultant International Spécialiste/Adaptation et la mise en oeuvre de la méthodologie TREE du BIT dans la zone d’intervention du projet de Construction du Corridor Economique Transnational RDC-Angola,rfx_3824_ROAF,ILO,07-Jan-2026,14-Jan-2026 12:00 (GMT 1.00),Call for individual consultants,"Congo, The Democratic Republic of the",No,"countries or territories:
Congo, The Democratic Republic of the",,,,,ILO e-Sourcing - EXCOLL Supplier User Guide_English.pdf; ILO e-Sourcing - EXCOLL Supplier User Guide_Spanish.pdf; ILO e-Sourcing - EXCOLL Supplier User Guide_French.pdf; Download all documents,"Le consultant spécialiste TREE appuiera la mise en oeuvre de la méthodologie TREE dans le projet du corridor économique RDC-Angola (section Kananga–Kabeya Kamuanga), en coordination avec l’équipe du projet et les partenaires locaux. Il/elle conduira un diagnostic initial, identifiera les parties prenantes clés dans les trois milieux focaux (Kananga, Mukamba, Kabeya-Kamuanga) et élaborera un plan d’action adapté. Le consultant renforcera les capacités du Comité national TREE, animera un atelier national en formant les nouveaux membres à la méthodologie TREE, et proposera un plan d’action national pour le déploiement progressif de TREE. A l’échelle locale, il/elle réalisera des diagnostics participatifs sur les besoins en compétences et métiers, adaptera la méthodologie TREE aux filières prioritaires, formera et coachera les acteurs locaux, appuiera l’élaboration des plans d’action communautaires et facilitera la mise en oeuvre d’activités génératrices de revenus. Il/elle capitalisera les résultats, produira des guides et rapports, et assurera le transfert des connaissances pour garantir la durabilité et la réplication de l’approche TREE.",https://www.ungm.org/Public/Notice/288272
287714,"Rehabilitation of Critical Irrigation Infrastructure at Tizin Agricultural Nursery, Qayrun Village, and Hama Biological Laboratory, Hama Governorate, Syria. (Site Visit is Mandatory requirement)",2025/FNSYR/FNSYR/134660,FAO,23-Dec-2025,14-Jan-2026 14:00 (GMT 3.00),Invitation to bid,Syrian Arab Republic,No,"countries or territories:
Syrian Arab Republic",FAOSY-Procurement@fao.org,FAOSY-Procurement@fao.org,,,,"The Food and Agriculture Organization of the United Nations (FAO) invites you to submit an offer for the Rehabilitation of Critical Irrigation Infrastructure at Tizin Agricultural Nursery, Qayrun Village, and Hama Biological Laboratory, Hama Governorate, Syria. If you are interested in submitting an offer, please make sure to have, at least, a UNGM Basic Registration with FAO (www.ungm.org). Instructions on how to access FAO tender documents through UNGM are attached to the present Notice under the “DOCUMENTS” tab; please follow these instructions when submitting your bid. (SITE VISIT IS MANDATORY REQUIREMENT) OFFERS WILL ONLY BE ACCEPTED IF SUBMITTED THROUGH THE UNGM PORTAL. OFFERS NOT SUBMITTED THROUGH THE UNGM PORTAL WILL BE INVALIDATED. Many thanks and best regards, FAO PROCUREMENT UNIT",https://www.ungm.org/Public/Notice/287714
288265,RFQ for Supply and provision of clean water by tanker trucks for the FAO office and Guesthouse in Port Sudan Red Sea,2026/FNSDN/FNSDN/135231,FAO,07-Jan-2026,14-Jan-2026 14:00 (GMT 2.00),Request for quotation,Sudan,No,"countries or territories:
Sudan",FAO-SD@fao.org,FAO-SD@fao.org,,,,"The Food and Agriculture Organization of the United Nations (FAO) invites you to submit an offer for the Supply and provision of clean water by tanker trucks for the FAO office and Guesthouse to be delivered to Port Sudan. If you are interested in submitting an offer, please make sure to have, at least, a UNGM Basic Registration with FAO (www.ungm.org). Instructions on how to access FAO tender documents through UNGM are attached to the present Notice under the “DOCUMENTS” tab; please follow these instructions when submitting your bid. OFFERS WILL ONLY BE ACCEPTED IF SUBMITTED THROUGH THE UNGM PORTAL. OFFERS NOT SUBMITTED THROUGH THE UNGM PORTAL WILL BE INVALIDATED. Many thanks and best regards, FAO PROCUREMENT UNIT SUDAN",https://www.ungm.org/Public/Notice/288265
288269,Supply and Delivery of WASH Equipments for IOM South Sudan Operations.,30000018594,IOM,07-Jan-2026,14-Jan-2026 14:00 (GMT 0.00),Request for quotation,South Sudan,No,"countries or territories:
South Sudan","Email address:
andife@iom.int
First name:
Anthony
Surname:
NDIFE",andife@iom.int,,,,Supply and Delivery of WASH Equipments for IOM South Sudan Operations.,https://www.ungm.org/Public/Notice/288269
286139,REQUEST FOR PROPOSAL FOR THE ESTABLISHMENT OF FRAME AGREEMENT FOR THE PROVISION OF A COMPLETE FUEL MANAGEMENT SOLUTION,UNHCR RFP 1513,UNHCR,02-Dec-2025,14-Jan-2026 15:00 (GMT 1.00),Request for proposal,Multiple destinations,No,"countries or territories:
Multiple destinations (see the Countries or territories tab)",,,,,1513_SUPPLIER_rev_sub_deadline_28JAN2026.pdf; Download all documents,"Fuel Management software solutions This request for proposals has been initiated by the AFMS, a service within UNHCR’s Division of Financial and Administrative Management (DFAM), to ensure that UNHCR has robust tools for monitoring and reporting on the complex management of its fuel stock and usage pattern. To date UNHCR has over 300 fuel tanks with a capacity greater than 2,000 Litres in over 30 different countries, the majority of which are on the African continent. Sixty percent of the tanks are equipped with a fuel dispenser and counter, 24% of the tanks are underground and approximately 70% use a dip rod method for measuring fuel levels, with under 10% being equipped with a fuel level sensor. As in line with other entities, UNHCR is looking to transition to more lower emission vehicles including electric (requirements in Annex B, Section 2.11), where feasible therefore proposed solutions must take this factor into account. Fuel Management hardware solutions It is preferred that proposed hardware devices are not proprietary and can be configured to function with as wide a variety of fuel tank installations as possible. Wireless connectivity is the preferred connection protocol. (Please note that tab “List of Countries/Geographical Coverage” in the Annex B.1 - Technical Offer Form, is a suggested list of items but not intended to be an exhaustive list). It is expected that the hardware solutions proposed will have some kind of memory cache so that data can be stored if there is an outage in connectivity. UNHCR operates in some very harsh conditions and therefore the hardware proposed needs to be able to function in these areas. The harsh environments include extreme heat (deserts) and cold. The successful bidder will provide a comprehensive fuel management solution that will allow UNHCR to achieve the following objectives: Improve fuel management oversight by systematically collecting accurate fuel data. Reduce fuel management costs by exploiting new technologies. Contribute to digital sustainability shifts and principles by optimizing fuel storage and consumption and safeguarding against potential environmental issues. Simplify/shorten business processes by capturing data in real time. Provide colleagues (globally) access to reliable, informative and insightful fuel management data. Provide reporting and research insights to a broad range of internal and external stakeholders. These include, but aren’t limited to, UNHCR Senior Management and the Executive Office. Inform the production of communication reports, many of which feed into broader strategic decision-making processes, specifically on sustainability and environmental concerns. Inform the production of key learnings and actionable insights related to UNHCR’s fuel management strategy, in turn improving the way the fuel is managed.",https://www.ungm.org/Public/Notice/286139
287450,"Contract for the provision of ICT Equipment in Kinshasa, DRC.",ITB No. 009_2025_DRC,IDLO,18-Dec-2025,14-Jan-2026 15:00 (GMT 1.00),Invitation to bid,"Congo, The Democratic Republic of the",No,"countries or territories:
Congo, The Democratic Republic of the",,,,,Draft Contract for Goods.pdf; DRC_ITB No. 009_2025_DRC_ OSCEP ICT Equipment.pdf; Clarification Letter No.1 to Bidders on Queries_ITB No. 009_2025_DRC_ Procurement of ICT Equipment.pdf; Download all documents,"Contract for the provision of ICT Equipment in Kinshasa, DRC.",https://www.ungm.org/Public/Notice/287450
