content,description,details,documents,title,type,url
,,,,Lesotho,opportunity,https://www.afdb.org/en/countries/southern-africa/lesotho
,,,,Madagascar,opportunity,https://www.afdb.org/en/countries/southern-africa/madagascar
,,,,Malawi,opportunity,https://www.afdb.org/en/countries/southern-africa/malawi
,,,,Mauritius,opportunity,https://www.afdb.org/en/countries/southern-africa/mauritius
,,,,Mozambique,opportunity,https://www.afdb.org/en/countries/southern-africa/mozambique
,,,,Namibia,opportunity,https://www.afdb.org/en/countries/southern-africa/namibia
,,,,South Africa,opportunity,https://www.afdb.org/en/countries/southern-africa/south-africa
,,,,São Tomé & Príncipe,opportunity,https://www.afdb.org/en/countries/southern-africa/sao-tome-and-principe
,,,,Zambia,opportunity,https://www.afdb.org/en/countries/southern-africa/zambia
,,,,Zimbabwe,opportunity,https://www.afdb.org/en/countries/southern-africa/zimbabwe
,,,,Non-Regional,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries
,,,,View all»,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries
,,,,Argentina,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/argentina
,,,,Austria,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/austria
,,,,Belgium,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/belgium
,,,,Brazil,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/brazil
,,,,Canada,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/canada
,,,,Denmark,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/denmark
,,,,Finland,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/finland
,,,,France,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/france
,,,,Germany,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/germany
,,,,Ireland,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/ireland
,,,,Kuwait,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/kuwait
,,,,Luxembourg,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/luxembourg
,,,,Netherlands,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/netherlands
,,,,Norway,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/norway
,,,,Portugal,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/portugal
,,,,Saudi Arabia,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/saudi-arabia
,,,,Sweden,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/sweden
,,,,Switzerland,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/switzerland
,,,,Türkiye,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/turkiye
,,,,United Kingdom,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/united-kingdom
,,,,United States of America,opportunity,https://www.afdb.org/en/countries/non-regional-member-countries/united-states-of-america
,,,,News & Events»,opportunity,https://www.afdb.org/en/news-and-events
,,,,All news,opportunity,https://www.afdb.org/en/news-and-events
,,,,All news,opportunity,https://www.afdb.org/en/news-and-events
,,,,Press Releases,opportunity,https://www.afdb.org/en/news-and-events/press-releases
,,,,Interviews,opportunity,https://www.afdb.org/en/news-and-events/interviews
,,,,Events Calendar,opportunity,https://www.afdb.org/en/news-and-events/events-calendar
,,,,Speeches,opportunity,https://www.afdb.org/en/news-and-events/speeches
,,,,Selected Projects,opportunity,https://www.afdb.org/en/projects-and-operations/selected-projects
,,,,Loan & Grants,opportunity,https://www.afdb.org/en/news-and-events/loans-grants
,,,,Success Stories,opportunity,https://www.afdb.org/en/news-events/success-stories
,,,,Multimedia,opportunity,https://www.afdb.org/en/news-and-events/multimedia
,,,,Videos,opportunity,https://www.afdb.org/en/news-and-events/multimedia
,,,,AfDB TV,opportunity,https://www.afdb.org/en/news-events-videos/afdb-tv
,,,,Photos,opportunity,https://www.afdb.org/en/news-events-videos/photos
,,,,Podcasts,opportunity,https://www.afdb.org/en/news-events/podcasts
,,,,Documents»,opportunity,https://www.afdb.org/en/all-documents
,,,,Board Documents,opportunity,https://www.afdb.org/en/documents/board-documents
,,,,Board Documents,opportunity,https://www.afdb.org/en/documents/board-documents
,,,,Administrative Tribunal,opportunity,https://www.afdb.org/en/documents/administrative-tribunal
,,,,Financial and Annual Reports,opportunity,https://www.afdb.org/en/documents-publications/annual-report
,,,,Budget Documents,opportunity,https://www.afdb.org/en/documents/budget-documents
,,,,Compliance Reviews,opportunity,https://www.afdb.org/en/documents/compliance-reviews
,,,,Departmental Annual Reports,opportunity,https://www.afdb.org/en/documents/departmental-annual-reports
,,,,Environmental & Social Assessments,opportunity,https://www.afdb.org/en/documents/environmental-social-assessments
,,,,Evaluation reports,opportunity,https://www.afdb.org/en/documents/evaluation-reports
,,,,Legal Documents,opportunity,https://www.afdb.org/en/documents/legal-documents
,,,,Financial Information,opportunity,https://www.afdb.org/en/documents/financial-information
,,,,Policy Documents,opportunity,https://www.afdb.org/en/documents/policy-documents
,,,,Strategy Documents,opportunity,https://www.afdb.org/en/documents/strategy-documents
,,,,Projects & Operations,opportunity,https://www.afdb.org/en/documents/projects-operations
,,,,Project-related Procurement,opportunity,https://www.afdb.org/en/documents/project-related-procurement
,,,,Publications,opportunity,https://www.afdb.org/en/documents/publications
,,,,Integrity & Anti-Corruption Reports,opportunity,https://www.afdb.org/en/documents/integrity-anti-corruption-reports
,,,,Topics & Sectors»,opportunity,https://www.afdb.org/en/topics-and-sectors
,,,,Initiatives & Partnerships,opportunity,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships
,,,,Initiatives & Partnerships,opportunity,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships
,,,,Sectors,opportunity,https://www.afdb.org/en/topics-and-sectors/sectors
,,,,Topics,opportunity,https://www.afdb.org/en/topics-and-sectors/topics
,,,,Projects & Operations»,opportunity,https://mapafrica.afdb.org/en/
,,,,Financial Management,opportunity,https://www.afdb.org/en/projects-and-operations/financial-management
,,,,Financial Management,opportunity,https://www.afdb.org/en/projects-and-operations/financial-management
,,,,Financial Products,opportunity,https://www.afdb.org/en/projects-and-operations/financial-products
,,,,Procurement,opportunity,https://www.afdb.org/en/projects-and-operations/procurement
,,,,Project Cycle,opportunity,https://www.afdb.org/en/projects-and-operations/project-cycle
,,,,Projects & Operations documents,opportunity,https://www.afdb.org/en/documents/projects-operations
,,,,Selected Projects,opportunity,https://www.afdb.org/en/projects-and-operations/selected-projects
,,,,Knowledge»,opportunity,https://www.afdb.org/en/knowledge
,,,,African Development Institute,opportunity,https://www.afdb.org/en/african-development-institute
,,,,African Development Institute,opportunity,https://www.afdb.org/en/african-development-institute
,,,,Research,opportunity,https://www.afdb.org/en/knowledge/macro-economics-policy-forecasting-and-research
,,,,MapAfrica,opportunity,https://www.afdb.org/en/projects-and-operations/mapafrica
,,,,Statistics,opportunity,https://www.afdb.org/en/knowledge/statistics
,,,,Africa Information Highway,opportunity,https://www.afdb.org/en/knowledge/statistics/africa-information-highway-aih
,,,,Publications,opportunity,https://www.afdb.org/en/documents/publications
,,,,Careers»,opportunity,https://www.afdb.org/en/about-us/careers
,,,,Current Vacancies,opportunity,https://www.afdb.org/en/about-careers/current-vacancies
,,,,Current Vacancies,opportunity,https://www.afdb.org/en/about-careers/current-vacancies
,,,,Consultants,opportunity,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
,,,,Employment of short term staff,opportunity,https://www.afdb.org/en/about-us/careers/employment-of-short-term-staff
,,,,Internship Programme,opportunity,https://www.afdb.org/en/careers/internship-programme
,,,,Young Professionals Program,opportunity,https://www.afdb.org/en/about-us/careers/young-professionals-program-ypp
,,,,Contacts»,opportunity,https://www.afdb.org/en/general-contacts
,,,,Country Office Contacts,opportunity,https://www.afdb.org/en/about-us/organisational-structure/complexes/country-regional-programs-policy/country-office-contacts
,,,,Country Office Contacts,opportunity,https://www.afdb.org/en/about-us/organisational-structure/complexes/country-regional-programs-policy/country-office-contacts
,"The Procurement Department has been entrusted with the functional authority and responsibility for the Bank's internal procurement. In carrying out this mandate, it commits to obtaining the right goods, works and services for the stated purpose; at the right time, place and cost; in a manner that balances the overall institutional requirements for economy, efficiency, transparency, equal opportunity, accountability and the needs of line management for flexibility and responsiveness to the particular operational circumstances.",,,Mise en place des contrats cadres pour la fourniture des services de branding & impressions,opportunity,https://www.afdb.org/en/corporate-procurement/mise-en-place-des-contrats-cadres-pour-la-fourniture-des-services-de-branding-impressions-89872
,Stay updated with the latest news and opportunities,,,Mise en place des contrats cadres pour la fourniture des services de branding & impressions,opportunity,https://www.afdb.org/en/corporate-procurement/mise-en-place-des-contrats-cadres-pour-la-fourniture-des-services-de-branding-impressions-89872
,Stay updated with the latest news and opportunities,,,Mise en place des contrats cadres pour la fourniture des services de branding & impressions,opportunity,https://www.afdb.org/en/corporate-procurement/mise-en-place-des-contrats-cadres-pour-la-fourniture-des-services-de-branding-impressions-89872
,Verify you are human by completing the action below.,{},[],www.afdb.org,project,https://www.afdb.org/en/projects-and-operations/selected-projects
,Verify you are human by completing the action below.,{},[],www.afdb.org,project,https://www.afdb.org/en/documents/projects-operations
,Verify you are human by completing the action below.,{},[],www.afdb.org,project,https://www.afdb.org/en/documents/project-related-procurement
,Verify you are human by completing the action below.,{},[],www.afdb.org,project,https://www.afdb.org/en/projects-and-operations/financial-management
,Verify you are human by completing the action below.,{},[],www.afdb.org,project,https://www.afdb.org/en/projects-and-operations/financial-products
