reference_number,title,category,location,tor_document,application_form,source_page
591,2.RFP TORs Herpetologist Palas 25,GIS/Mapping,,http://wwf.org.pk/eoffice/consultancy/consultupload/591-77359-2.RFP_TORs-Herpetologist-Palas-25.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
590,TORS APWASI,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/590-20133-TORS-APWASI.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
589,ToRs Consultancy for Education for Sustainable Development (ESD) Teacher Training on Water Conservation Behaviors,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/589-95803-ToRs_Consultancy for Education for Sustainable Development (ESD) Teacher Training on Water Conservation Behaviors.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
588,RFP Consultancy for Gender Responsive Livlihood activities,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/588-67070-RFP-Consultancy for Gender- Responsive Livlihood activities (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
587,TORs TY 2019,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/587-84679-TORs TY-2019 (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
586,TORs Indicators Baseline 300625,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/586-15942-TORs_Indicators_Baseline_300625_compressed.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
585,TORs Audit=WRAP,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/585-34118-TORs-Audit=WRAP.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
584,RFP 584Consultancy for CSA Training,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/584-42303-RFP-584Consultancy for CSA Training.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
583,ABNJ Longline Terms of Reference,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/583-66277-ABNJ_Longline_Terms_of_Reference-compressed.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
582,RFP Tribal Elder Consultations and Awareness Sessions,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/582-72697-RFP - Tribal Elder Consultations and Awareness Sessions (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
581,RFP Training Workshops (Sub Activity 2.3.1.2),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/581-74411-RFP - Training Workshops (Sub - Activity 2.3.1.2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
579,RP Long form Videos TORs,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/579-46180-RP Long-form Videos - TORs.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
578,TOR EU Consultant,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/578-15558-TOR EU Consultant.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
577,ToRs ESSF Evaluation World Bank (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/577-39155-ToRs ESSF Evaluation_World Bank (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
576,RFP WWF Inditex Consultancy,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/576-27114-RFP - WWF Inditex Consultancy.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
575,TORS IUCN Second consultancy,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/575-80033-TORS-IUCN-Second consultancy.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
572,TOR Development of Communication Products for the Sustainable Infrastructure ACAI PD,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/572-96946-TOR-Development of Communication Products for the Sustainable Infrastructure ACAI_PD.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
571,RFP of Third Party Evaluation,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/571-36964-RFP_of_Third Party Evaluation.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
570,RFP Wildlfie Laws Gap Analysis and Cirriculum Development Ver2 (1),General,,http://wwf.org.pk/eoffice/consultancy/consultupload/570-4973-RFP Wildlfie Laws Gap Analysis and Cirriculum Development Ver2 (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
569,PRF Develop a short documentary regarding Illegal Wildlife Trade in Pakistan to create awareness (1) (2),General,,http://wwf.org.pk/eoffice/consultancy/consultupload/569-45868-PRF Develop a short documentary regarding Illegal Wildlife Trade in Pakistan to create awareness (1) (2) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
568,RFP for Consultancy Services Lahore Study,Assessment/Study,Lahore,http://wwf.org.pk/eoffice/consultancy/consultupload/568-43040-RFP for Consultancy Services-Lahore Study.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
567,ToRs Annual Financial Audit BMZII 2024 2025 25Apr,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/567-37785-ToRs_Annual Financial Audit BMZII 2024 - 2025_25Apr (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
566,TOR VFM Hosting for web,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/566-2966-TOR VFM Hosting for web (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
565,TOR livestock management (2) (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/565-77607-TOR-livestock management (2) (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
564,TORs consultancy,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/564-26032-TORs-consultancy.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
563,RFP ToRs Consultancy for Reviewing & Drafting Data Protection Policy,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/563-76579-RFP_ ToRs_Consultancy for Reviewing & Drafting Data Protection Policy .pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
562,Draft TORs for Performance anlaysis Year 4,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/562-6404-Draft TORs for Performance anlaysis Year-4.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
561,1. RFP TORs Video Graphy 2024 (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/561-67501-1. RFP-TORs-Video Graphy 2024 (1) (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
560,1. RFP TORs Impact Analyst 2025 (2),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/560-75460-1. RFP-TORs-Impact Analyst-2025 (2) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
559,ToRs GSK Communications Consultancy (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/559-19059-ToRs_ GSK Communications Consultancy (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
558,TOrs of dacoumentry,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/558-47787-TOrs of dacoumentry.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
557,TORs Stakeholder mapping and CWP communication strategy f,GIS/Mapping,,http://wwf.org.pk/eoffice/consultancy/consultupload/557-84312-TORs Stakeholder mapping and CWP communication strategy f.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
556,TOR Template Harmful Subsidies Technical Expert,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/556-81038-TOR Template - Harmful Subsidies Technical Expert_Final.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
555,Recharge Pakistan Audit Engagement TOR Draft from AE,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/555-69398-Recharge Pakistan Audit Engagement TOR - Draft from AE_compressed.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
554,ToRs Evaluation of Mangroves Afforestation vF,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/554-34197-ToRs Evaluation of Mangroves Afforestation vF.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
553,ToRs External Final Evaluation BMZ,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/553-42826-ToRs External Final Evaluation BMZ-.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
552,Consultancy For NIKE South Punjab (1),Consultancy,Punjab,http://wwf.org.pk/eoffice/consultancy/consultupload/552-6201-Consultancy For NIKE- South Punjab (1) (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
551,Consultancy For NIKE Lahore Region (1),Consultancy,Lahore,http://wwf.org.pk/eoffice/consultancy/consultupload/551-55965-Consultancy For NIKE- Lahore Region (1) (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
550,RP Hydrology and Flood Modelling Consutancy ToRs,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/550-50754-RP-Hydrology and Flood Modelling Consutancy ToRs (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
549,RFP WWF Toastmasters Club,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/549-6009-RFP - WWF Toastmasters Club.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
548,TOR Poultry rearing,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/548-78632-TOR- Poultry rearing .pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
547,"04 Training of Farmers on Best Management Practices of Soon Valley, Khushab Punjab",Training,Punjab,"http://wwf.org.pk/eoffice/consultancy/consultupload/547-49525-04 - Training of Farmers on Best Management Practices of Soon Valley, Khushab Punjab (1).pdf",https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
546,2.TOR Format,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/546-84364-2.TOR-Format (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
545,TORS 3rd study of WWF pakistan ( liveli hood improvement),Assessment/Study,,http://wwf.org.pk/eoffice/consultancy/consultupload/545-17334-TORS-3rd study of WWF-pakistan ( liveli hood improvement).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
543,ToRs DRR designing Inforgraphics Feb,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/543-37548-ToRs_DRR_designing_Inforgraphics-_Feb- final (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
542,TORS Baseline survey IUCN,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/542-36490-TORS-Baseline survey-IUCN (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
541,TORs APWASI Training for PWDs Parents,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/541-22748-TORs - APWASI - Training for PWDs Parents (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
540,TOR Template CVP [Communications and Media Engagement],Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/540-79080-TOR Template - CVP [Communications and Media Engagement] (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
539,TOR Template CVP [Session on Just Transition],Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/539-75272-TOR Template - CVP [Session on Just Transition] (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
538,TOR Template CVP [Session on Climate Change Mitigation],Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/538-24913-TOR Template - CVP [Session on Climate Change Mitigation] (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
537,TOR Template CVP [Session on Climate Finance],Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/537-45752-TOR Template - CVP [Session on Climate Finance] (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
536,TOR Template CVP [Session on Climate Change Adaptation and Resilience],Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/536-96503-TOR Template - CVP [Session on Climate Change Adaptation and Resilience] (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
535,APWASIinfographic,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/535-APWASIinfographic.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
534,Final Terms of Refrence (ToRs) of capacity budilding training against snake and insect bite,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/534-25375-Final Terms of Refrence (ToRs) of capacity budilding training against snake and insect bite (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
533,TOR Template CVP [Session on International Climate Law and Policy],Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/533-78613-TOR Template - CVP [Session on International Climate Law and Policy].pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
532,TOR Template CVP [Session on Climate Global Stocktake],Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/532-40216-TOR Template - CVP [Session on Climate Global Stocktake].pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
531,TOR Template CVP [Session on Climate Data and Science],Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/531-24949-TOR Template - CVP [Session on Climate Data and Science].pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
